S. No.,Month ,Crash Date,Crash Day,Article Date ,Location,Million Plus City,State,LatLong,Vehicle 1,Vehicle/Object 2,Killed,Injured,Age,Gender,Road Type,Crash Type
148,February,4-Feb-22,Friday,5-Feb-22,Safipur,Nil,Uttar Pradesh,"26.738629447023207, 80.35052740128569",Car,Truck,3,1,NA,Both,SH,Hit From Side
149,February,5-Feb-22,Saturday,6-Feb-22,Krishnayapalem,Nil,Andhra Pradesh,"16.82089116931901, 81.59278745690153",Two Wheeler,Pole,3,0,"19,19,19",Male,SH,Fixed Object Collision
150,February,6-Feb-22,Sunday,6-Feb-22,Budagavi,Nil,Andhra Pradesh,"14.962623936340337, 77.23330737491476",Car,Truck,9,0,NA,NA,NH,Others
151,February,5-Feb-22,Saturday,6-Feb-22,Pirappancode,Nil,Kerala,"8.659199326714372, 76.91968191971127",SUV,Tree,1,2,56,Female,SH,Fixed Object Collision
152,February,5-Feb-22,Saturday,6-Feb-22,Sector 39-56 Road,Chandigarh,Chandigarh,"30.740356213706715, 76.72431923906225",Two Wheeler,Car,1,0,19,Female,OR,Others
153,February,5-Feb-22,Saturday,7-Feb-22,Gandhi Nagar Police Station,Indore,Madhya Pradesh,"22.746248516667844, 75.7982094212455",Two Wheeler,Tractor,1,1,35,Male,OR,Others
154,February,5-Feb-22,Saturday,7-Feb-22,Harniya,Nil,Madhya Pradesh,"23.052884435718276, 76.59684714485893",Two Wheeler,Unidentified,1,0,NA,Male,OR,Hit and Run
155,February,5-Feb-22,Saturday,7-Feb-22,Combat Army Aviation Training ,Nashik,Maharashtra,"19.97123485981148, 73.81562224560645",Two Wheeler,Tree,1,0,55,Male,OR,Fixed Object Collision
156,February,4-Feb-22,Friday,7-Feb-22,Ghuni,Nil,Uttarakhand,"30.299963196613398, 79.5166363500949",Pick Up,Gorge,3,0,"30,33,40",Male,OR,Vehicle Overturn
157,February,5-Feb-22,Saturday,7-Feb-22,Punawale,Nil,Maharashtra,"18.632492103607568, 73.74157079427587",Car,Truck,3,2,"19,40,54",Male,NH,With Parked Vehicle
158,February,6-Feb-22,Sunday,7-Feb-22,ZOO Park,Vizag,Andhra Pradesh,"17.760528885443883, 83.35495694453758",Two Wheeler,Car,1,2,3,Female,SH,Hit From Back
159,February,7-Feb-22,Monday,8-Feb-22,Katgaon,Nil,Himachal Pradesh,"31.591633638231283, 78.03685723801158",Car,Gorge,3,0,"38,24,35",Male,OR,Vehicle Overturn
160,February,7-Feb-22,Monday,8-Feb-22,Nagaur,Nil,Rajasthan,"27.2138302972568, 73.71605649545057",Car,Car,2,3,NA,Male,NH,Head On Collision 
161,February,7-Feb-22,Monday,8-Feb-22,Keerwa,Nil,Rajasthan,"25.49987528377706, 73.25112435658373",Car,Divider,1,1,50,Male,NH,Fixed Object Collision
162,February,6-Feb-22,Sunday,8-Feb-22,JVLR ,Mumbai,Maharashtra,"19.12471261878596, 72.89574856667453",Bicycle,Truck,1,1,12,Male,OR,Hit From Back
163,February,9-Feb-22,Wednesday,9-Feb-22,Halvad,Nil,Gujarat,"23.004502500291746, 71.15380897504323",SUV,Nil,3,2,NA,NA,SH,Run Off Road
164,February,8-Feb-22,Tuesday,9-Feb-22,Titra,Nil,Bihar,"26.22754594175393, 84.24243447792814",Two Wheeler,Bus,2,3,"25,25",Male,NH,Others
165,February,8-Feb-22,Tuesday,9-Feb-22,Sothupakkam,Nil,Tamil Nadu,"12.440200277367603, 79.83599847114043",Van,Truck,3,10,"30,60,3",Both,NH,With Parked Vehicle
166,February,9-Feb-22,Wednesday,10-Feb-22,Adoor ,Nil,Kerala,"9.156390493413305, 76.73231340739379",Car,Canal,3,4,"51,53,60",Female,SH,Vehicle Overturn
167,February,8-Feb-22,Tuesday,10-Feb-22,Dhana,Nil,Madhya Pradesh,"23.320313870253262, 78.53019329464922",Two Wheeler,Truck,2,0,NA,Male,OR,Head On Collision 
168,February,9-Feb-22,Wednesday,10-Feb-22,Mamoni,Nil,Rajasthan,"25.187145880104637, 77.11115122253314",SUV,Nil,3,9,"50,12,51",Both,NH,Run Off Road
169,February,8-Feb-22,Tuesday,10-Feb-22,Thagarapuvalasa,Nil,Andhra Pradesh,"17.931285780564018, 83.42356678931198",Two Wheeler,Lorry,2,0,"28,40",Male,NH,With Parked Vehicle
170,February,9-Feb-22,Wednesday,11-Feb-22,Varkala,Nil,Kerala,"8.74283202760778, 76.72160216889189",Pedestrian,Two Wheeler,1,2,60,Male,SH,Hit and Run
171,February,11-Feb-22,Friday,11-Feb-22,Naradih,Nil,Jharkhand,"23.967751166911828, 86.76956791098664",Car,Truck,4,2,NA,NA,OR,With Parked Vehicle
172,February,9-Feb-22,Wednesday,11-Feb-22,Kappumukku,Nil,Kerala,"11.531926575865088, 75.81252164202",Pedestrian,Two Wheeler,1,2,60,Male,OR,Hit and Run
173,February,10-Feb-22,Thursday,11-Feb-22,Ramol,Ahmedabad,Gujarat,"22.974129466237112, 72.6534256375576",Car,Truck,2,3,NA,Male,NH,With Parked Vehicle
174,February,11-Feb-22,Friday,12-Feb-22,Kalidhar ,Nil,Jammu,"33.05115098808208, 74.64351066713232",Car,Nil,1,6,30,Male,OR,Run Off Road
175,February,11-Feb-22,Friday,12-Feb-22,Sihora,Nil,Gujarat,"23.488212910200673, 80.10769353179742",Car,Truck,2,3,"50,38",Male,NH,With Parked Vehicle
176,February,11-Feb-22,Friday,12-Feb-22,Gunga,Nil,Madhya Pradesh,"23.448803225439857, 77.36161885815567",Car,Unidentified,2,0,"20,21",Male,OR,Hit and Run
177,February,10-Feb-22,Thursday,12-Feb-22,Atmakur Mandal,Nil,Telangana,"17.23253687972608, 79.69398413248594",Two Wheeler,Two Wheeler,4,0,"18,16,22,23",Male,OR,Head On Collision 
178,February,11-Feb-22,Friday,12-Feb-22,Satto,Nil,Rajasthan,"26.236938791933692, 70.47955938658713",Bus,Nil,1,4,NA,Male,OR,Vehicle Overturn
179,February,12-Feb-22,Saturday,13-Feb-22,Devagiri,Nil,Karnataka,"14.838820326235737, 75.3533581920594",Bus,Nil,2,30,"34,35",Male,NH,Run Off Road
180,February,12-Feb-22,Saturday,13-Feb-22,Kalpana Ginning,Nil,Maharashtra,"21.00119281715471, 79.39828299234789",Car,Nil,3,1,"55,50,25",Both,SH,Run Off Road
181,February,12-Feb-22,Saturday,14-Feb-22,Aakiya,Nil,Rajasthan,"24.50744282460239, 74.54469995593209",Car,Wall,1,4,NA,Female,OR,Fixed Object Collision
182,February,12-Feb-22,Saturday,14-Feb-22,Ottakkalmandapam,Nil,Tamil Nadu,"10.873262324653167, 77.00665745816913",Two Wheeler,Bus,2,0,"25,19",Both,NH,Head On Collision 
183,February,14-Feb-22,Monday,14-Feb-22,Dhannipur,Nil,Uttar Pradesh,"26.519617279923917, 80.77002471393665",Car,SUV,4,0,"30,34,55,25",Both,OR,Head On Collision 
184,February,13-Feb-22,Sunday,14-Feb-22,Thaikavu Junction,Kochi,Kerala,"9.994845924111981, 76.32019279535668",Pedestrian,Car,1,0,62,Male,OR,Hit and Run
185,February,14-Feb-22,Monday,14-Feb-22,Kolabira,Nil,Jharkhand,"22.788012125414575, 86.03337294127007",Two Wheeler,Truck,3,0,NA,Male,OR,Others
186,February,15-Feb-22,Tuesday,15-Feb-22,RJ SH12,Jaipur,Rajasthan,"26.761340281072, 75.74696895289894",Car,Tree,5,0,NA,Male,SH,Fixed Object Collision
187,February,15-Feb-22,Tuesday,15-Feb-22,Khopoli,Nil,Maharashtra,"18.785150637116026, 73.34700081173162",Car,Truck,4,0,"36,32,31",Male,NH,Hit From Back
188,February,14-Feb-22,Monday,15-Feb-22,Jalali,Nil,Uttar Pradesh,"26.540203411080476, 81.63236223814823",SUV,Truck,2,5,"40,70",Both,NH,With Parked Vehicle
189,February,16-Feb-22,Wednesday,16-Feb-22,Kolar,Nil,Karnataka,"13.126527581387272, 78.11583179770683",Car,Divider,4,2,NA,Both,NH,Fixed Object Collision
190,February,14-Feb-22,Monday,16-Feb-22,Kovaipudur,Nil,Tamil Nadu,"10.944913295408462, 76.93881475047148",Pedestrian,Auto Rickshaw,1,0,60,Female,OR,Hit and Run
191,February,16-Feb-22,Wednesday,16-Feb-22,Narayanpur,Nil,Uttar Pradesh,"25.19145275727694, 83.02887846513721",Car,Truck,6,0,"34,28,28,8,10",Both,SH,With Parked Vehicle
192,February,14-Feb-22,Monday,16-Feb-22,Rafi Crossing,Kolkata,West Bengal,"22.56295765776425, 88.35872928795361",Pedestrian,Bus,1,0,25,Male,OR,Hit and Run
193,February,14-Feb-22,Monday,16-Feb-22,SSKM Hospital,Kolkata,West Bengal,"22.540902886677657, 88.34096360238837",Pedestrian,Truck,1,0,36,Male,OR,Hit and Run
194,February,15-Feb-22,Tuesday,16-Feb-22,Patel Chowk,Indore,Madhya Pradesh,"22.714544027178718, 75.87184933982203",Two Wheeler,Truck,4,5,NA,Both,OR,Others
195,February,16-Feb-22,Wednesday,16-Feb-22,Kendri,Nil,Chhattisgarh,"21.108177205326385, 81.72271029614801",SUV,Divider,6,5,NA,Female,OR,Fixed Object Collision
196,February,16-Feb-22,Wednesday,17-Feb-22,SIDCO IND. Estate,Coimbatore,Tamil Nadu,"10.938080599081948, 76.98016337449293",Car,Truck,2,1,"28,50",Both,NH,Head On Collision 
197,February,15-Feb-22,Tuesday,17-Feb-22,Kishanganj,Nil,Madhya Pradesh,"22.578983326258918, 75.77721150442704",Two Wheeler,Unidentified,1,0,45,Male,NH,Hit and Run
198,February,18-Feb-22,Friday,18-Feb-22,Golden Temple,Nil,Tamil Nadu,"12.869718563956598, 79.087678239575",Car,Truck,4,1,"23,25,25,2",Both,SH,Hit From Back
199,February,17-Feb-22,Thursday,18-Feb-22,Nokh,Nil,Rajasthan,"27.568099266809714, 72.2475957764855",Car,Unidentified,2,2,65,Female,NH,Hit and Run
200,February,16-Feb-22,Wednesday,18-Feb-22,Khurrampur,Nil,Haryana,"28.90148755626485, 77.2051188885555",Two Wheeler,Tractor,1,0,32,Male,OR,Head On Collision 
201,February,19-Feb-22,Saturday,19-Feb-22,Gattamma Temple,Nil,Telangana,"18.188326947884857, 79.91491551269137",Car,Bus,4,4,NA,Both,NH,Head On Collision 
202,February,19-Feb-22,Saturday,19-Feb-22,Nathdwara,Nil,Rajasthan,"24.9308253171582, 73.82617210519453",Two Wheeler,Unidentified,3,0,"30,14,38",Male,NH,Hit and Run
203,February,19-Feb-22,Saturday,19-Feb-22,Palsana,Nil,Rajasthan,"27.482790115159805, 75.3815748302894",Van,Bus,2,6,"11,8",Male,OR,Head On Collision 
204,February,17-Feb-22,Thursday,19-Feb-22,Dhank ,Nil,Chhattisgarh,"21.22049960531919, 82.40670193772387",Two Wheeler,Unidentified,4,0,"45,18,18,18",Both,NH,Hit and Run
205,February,19-Feb-22,Saturday,19-Feb-22,Kisagar,Nil,Bihar,"25.589870746053073, 84.25004814353804",SUV,Bus,5,10,"37,75",Both,NH,Head On Collision 
206,February,20-Feb-22,Sunday,20-Feb-22,Chambal Bridge Kota,Kota,Rajasthan,"25.195967165236652, 75.84516315344385",SUV,River,9,0,NA,Both,NH,Vehicle Overturn
207,February,18-Feb-22,Friday,20-Feb-22,Dolu ,Nil,Assam,"24.92149865757436, 92.78156696643879",Car,Bridge,1,3,NA,Female,NH,Fixed Object Collision
208,February,19-Feb-22,Saturday,20-Feb-22,Cantonment area,Delhi,Delhi,"28.602052711144825, 77.1348181091842",Car,Truck,2,3,NA,Male,OR,Others
209,February,18-Feb-22,Friday,20-Feb-22,Jivrajpark,Ahmedabad,Gujarat,"23.00544441957308, 72.53338811590844",Two Wheeler,Crane,1,1,23,Male,NH,With Parked Vehicle
210,February,21-Feb-22,Monday,21-Feb-22,Chevella,Nil,Telangana,"17.313601040235092, 78.13928501548331",Car,SUV,3,7,NA,Both,NH,Others
211,February,18-Feb-22,Friday,21-Feb-22,Darna Bridge,Nil,Maharashtra,"19.830648009380734, 73.82802256128227",Two Wheeler,Unidentified,1,0,45,Male,OR,Hit and Run
212,February,19-Feb-22,Saturday,21-Feb-22,Paprodi,Nil,Punjab,"30.81523877034962, 76.17096503780348",Two Wheeler,SUV,1,1,19,Male,OR,Head On Collision 
213,February,20-Feb-22,Sunday,21-Feb-22,Yanam-Yedurlanka Bridge,Nil,Andhra Pradesh,"16.726270377838905, 82.20194318234546",Two Wheeler,Van,4,3,"38,35,10,9",Both,NH,Head On Collision 
214,February,20-Feb-22,Sunday,21-Feb-22,Pullagampalle,Nil,Andhra Pradesh,"14.08097302776957, 78.06890620844874",Bus,Nil,3,0,"45,40,18",Both,SH,Run Off Road
215,February,19-Feb-22,Saturday,21-Feb-22,PiparCity,Nil,Rajasthan,"26.38744492359492, 73.53981947509264",Two Wheeler,Car,2,0,"21,20",Both,SH,Head On Collision 
216,February,22-Feb-22,Tuesday,22-Feb-22,Tanakpur,Nil,Uttarakhand,"29.057010000030033, 80.1021978906326",Pick Up,Gorge,14,2,NA,NA,NH,Vehicle Overturn
217,February,20-Feb-22,Sunday,22-Feb-22,Agar Road,Nil,Madhya Pradesh,"23.456187625116055, 75.88182763022814",Car,Tractor,2,1,"68,23",Male,SH,Head On Collision 
218,February,21-Feb-22,Monday,22-Feb-22,Khemnichak Rd,Patna,Bihar,"25.57615794018205, 85.1604735245477",Two Wheeler,Truck,1,0,50,Female,OR,Others
219,February,21-Feb-22,Monday,22-Feb-22,RajendraNagar Overbridge,Patna,Bihar,"25.60311850146915, 85.15846727705956",Two Wheeler,SUV,1,0,24,Female,OR,Head On Collision 
220,February,21-Feb-22,Monday,22-Feb-22,Haveli Ghanpur,Nil,Telangana,"18.056694486628253, 78.2584638520406",Bus,Nil,2,11,"45,16",Female,OR,Run Off Road
221,February,22-Feb-22,Tuesday,23-Feb-22,Fatehbad Road,Agra,Uttar Pradesh,"27.158435724776187, 78.06272867574049",Car,Bus,2,7,NA,NA,SH,Others
222,February,21-Feb-22,Monday,23-Feb-22,Kotdwar,Nil,Uttarakhand,"29.75842648666641, 78.54244677611753",Car,Gorge,3,2,NA,NA,NH,Vehicle Overturn
223,February,21-Feb-22,Monday,23-Feb-22,Mandala ,Nil,Rajasthan,"28.315880502085022, 75.42778059962849",Car,Car,3,0,"59,80,63",Both,SH,Head On Collision 
224,February,22-Feb-22,Tuesday,23-Feb-22,Khetolai ,Nil,Rajasthan,"27.015212450599027, 71.70535690266628",SUV,Nil,3,2,"43,40,47",Both,NH,Vehicle Overturn
225,February,19-Feb-22,Saturday,23-Feb-22,Haibowal,Ludhiana,Punjab,"30.9199903667924, 75.88087428875404",Two Wheeler,Nil,1,1,19,Female,OR,Vehicle Overturn
226,February,22-Feb-22,Tuesday,23-Feb-22,Moinabad,Hyderabad,Telangana,"17.329662439312923, 78.27425994433521",Two Wheeler,Bus,2,0,"60,45",Both,NH,Hit From Back
227,February,21-Feb-22,Monday,24-Feb-22,NH 360 Vani,Nil,Maharashtra,"20.33283598716889, 73.88779870315513",Two Wheeler,Bus,1,0,23,Male,NH,Head On Collision 
228,February,20-Feb-22,Sunday,24-Feb-22,Dangsaundane,Nil,Maharashtra,"20.628825370716992, 74.03792201888484",Two Wheeler,Two Wheeler,1,0,18,Male,SH,Others
229,February,23-Feb-22,Wednesday,24-Feb-22,Kasturbagram,Indore,Madhya Pradesh,"22.64951001448067, 75.88658250405783",Two Wheeler,Truck,1,0,50,Male,SH,Head On Collision 
230,February,24-Feb-22,Thursday,25-Feb-22,Shindewadi Tunnel,Nil,Maharashtra,"18.391701123992394, 73.85593140292903",Two Wheeler,Truck,2,0,"29,50",Both,NH,Hit From Back
231,February,24-Feb-22,Thursday,25-Feb-22,Dulapally,Hyderabad,Telangana,"17.55375191054745, 78.46363355451433",Bicycle,Van,1,0,58,Male,OR,Others
232,February,24-Feb-22,Thursday,26-Feb-22,Rawta More,Delhi,Delhi,"28.59959351288085, 76.91196809389415",Two Wheeler,Bus,2,2,NA,Male,OR,Others
233,February,24-Feb-22,Thursday,26-Feb-22,Shamshabad,Hyderabad,Telangana,"17.26200439015837, 78.38814180946548",Two Wheeler,Nil,1,0,30,Male,NH,Vehicle Overturn
234,February,24-Feb-22,Thursday,26-Feb-22,Bhatan Tunnel,Nil,Maharashtra,"18.91367527325495, 73.17852135553856",Pedestrian,Unidentified,1,0,53,Male,NH,Hit and Run
235,February,24-Feb-22,Thursday,26-Feb-22,Sankeshwar,Nil,Karnataka,"16.263716185019536, 74.47309535046699",Two Wheeler,Two Wheeler,4,0,"24,23,23,21",Male,SH,Head On Collision 
236,February,27-Feb-22,Sunday,27-Feb-22,Budhana,Nil,Uttar Pradesh,"29.29006598210077, 77.47378345407694",Two Wheeler,Car,1,3,NA,Male,SH,Head On Collision 
237,February,25-Feb-22,Friday,27-Feb-22,Prem nagar,Raipur,Chhatisgarh,"21.26724764610783, 81.62042269163943",Van,Nil,4,24,NA,NA,OR,Vehicle Overturn
238,February,26-Feb-22,Saturday,27-Feb-22,Jamunipurva,Nil,Uttar Pradesh,"26.294580894090394, 83.09086815543051",Car,Truck,5,1,NA,NA,OR,With Parked Vehicle
239,February,27-Feb-22,Sunday,28-Feb-22,Sai Chowk,Delhi,Delhi,"28.64373969635639, 77.03230998622084",Two Wheeler,Truck,1,1,55,Female,OR,Hit From Side
240,February,27-Feb-22,Sunday,28-Feb-22,Bellary Road,Bengaluru,Karnataka,"13.134571102347406, 77.61675186207687",Two Wheeler,Car,2,0,"22,22",Male,NH,Others
241,February,27-Feb-22,Sunday,28-Feb-22,Hebbal,Bengaluru,Karnataka,"13.035500082682866, 77.58892000253744",Two Wheeler,Divider,1,0,27,Male,NH,Fixed Object Collision
242,February,26-Feb-22,Saturday,28-Feb-22,Atam Park,Ludhiana,Punjab,"30.889187044063895, 75.85126767384848",Pedestrian,Truck,1,0,43,Male,OR,Hit and Run
243,March,28-Feb-22,Monday,1-Mar-22,Velachery-Tambaram Main Rd,Chennai,Tamil Nadu,"12.923248510571252, 80.16050952729643",Car,Truck,1,0,45,Male,OR,Hit From Back
244,March,27-Feb-22,Sunday,1-Mar-22,Sinnar,Nil,Maharashtra,"19.846577303394984, 73.97107766153536",Two Wheeler,Truck,1,0,25,Male,NH,Others
245,March,1-Mar-22,Tuesday,1-Mar-22,Bhor Ghat,Nil,Maharashtra,"18.77063933979836, 73.36590938508034",Truck,Wall,1,22,NA,Male,NH,Fixed Object Collision
246,March,27-Feb-22,Sunday,1-Mar-22,Nagarabgavi,Bengaluru,Karnataka,"12.967598908664984, 77.51248898800186",Two Wheeler,Nil,1,0,28,Male,OR,Run Off Road
247,March,27-Feb-22,Sunday,1-Mar-22,Veerasandra Junction,Bengaluru,Karnataka,"12.846453600857831, 77.67215941964415",Van,Divider,1,1,23,Male,NH,Fixed Object Collision
248,March,28-Feb-22,Monday,2-Mar-22,Sodala,Jaipur,Rajasthan,"26.90193341448318, 75.77265925901905",Two Wheeler,Unidentified,2,0,"32,34",Male,OR,Hit and Run
249,March,28-Feb-22,Monday,2-Mar-22,Karad,Nil,Maharashtra,"17.286690427411575, 74.18447132552234",Car,Truck,1,3,32,Female,NH,Hit From Back
250,March,28-Feb-22,Monday,2-Mar-22,Piplani,Bhopal,Madhya Pradesh,"23.243281034929208, 77.4730609770155",Two Wheeler,Truck,1,2,17,Male,OR,Head On Collision 
251,March,1-Mar-22,Tuesday,2-Mar-22,Jajmau,Kanpur,Uttar Pradesh,"26.427956515562716, 80.38381214859015",Auto Rickshaw,Truck,1,6,NA,NA,OR,Hit From Side
252,March,28-Feb-22,Monday,2-Mar-22,Punawale,Pune,Maharashtra,"18.632987304673655, 73.74146182222104",Car,Truck,1,2,30,Male,NH,Hit From Back
253,March,2-Mar-22,Wednesday,3-Mar-22,Kazhakkottam,Nil,Kerala,"8.560349800808412, 76.875886925318",Two Wheeler,Truck,1,1,19,Male,NH,Hit From Back
254,March,2-Mar-22,Wednesday,3-Mar-22,Ayyankavu,Nil,Kerala,"10.058505914678154, 76.64636492554786",Car,Pole,2,4,"75,31",Male,NH,Fixed Object Collision
255,March,2-Mar-22,Wednesday,3-Mar-22,Marady,Nil,Kerala,"9.955551623713422, 76.5594075768766",Car,Truck,2,3,"60,24",Male,OR,Others
256,March,3-Mar-22,Thursday,3-Mar-22,Jhir,Nil,Himachal Pradesh,"31.63504378170524, 76.77955354651563",Bus,Gorge,2,14,NA,NA,OR,Vehicle Overturn
257,March,2-Mar-22,Wednesday,4-Mar-22,Chachas Takeway,Nil,Haryana,"28.472432496254118, 77.10280302306421",Two Wheeler,Car,4,1,"28,35,22,26",Male,OR,Others
258,March,2-Mar-22,Wednesday,4-Mar-22,Hotel Highway King Binola,Nil,Haryana,"28.29757364132327, 76.86837399663595",Car,Truck,5,0,NA,Male,NH,With Parked Vehicle
259,March,3-Mar-22,Thursday,4-Mar-22,Shankaracharya Chowk,Nil,Uttarakhand,"29.87432755455267, 77.89471485225786",Two Wheeler,Truck,1,1,35,Female,OR,Hit From Back
260,March,4-Mar-22,Friday,4-Mar-22,Green Chowk,Nil,Chhattisgarh,"21.199324620235608, 81.2887682600112",Truck,Nil,4,0,"26,26,23",Male,SH,Run Off Road
261,March,3-Mar-22,Thursday,4-Mar-22,Manoharpur,Nil,Rajasthan,"27.298943064764845, 75.95762115840584",Two Wheeler,Bus,3,0,"20,28,18",Male,NH,Hit From Side
262,March,5-Mar-22,Saturday,5-Mar-22,Incherla,Nil,Telangana,"18.21815163836048, 79.98216386293753",Auto Rickshaw,Van,6,2,"12,9,60,23,16,60",Both,OR,With Parked Vehicle
263,March,4-Mar-22,Friday,5-Mar-22,MHKS Petrol Pump,Nagpur,Maharashtra,"21.20426880104254, 79.14620422583027",Two Wheeler,Truck,1,2,17,Male,NH,Head On Collision 
264,March,5-Mar-22,Saturday,5-Mar-22,Jamola ,Nil,Jammu,"33.30045710490115, 74.41128186730069",Car,Gorge,5,1,NA,NA,OR,Vehicle Overturn
265,March,4-Mar-22,Friday,6-Mar-22,Basudeva Temple,Patna,Bihar,"25.606649196412548, 85.16517591163063",Two Wheeler,Unidentified,3,0,NA,Male,OR,Hit and Run
266,March,5-Mar-22,Saturday,6-Mar-22,Katraj Tunnel,Nil,Maharashtra,"18.39892041913737, 73.84935979276045",Two Wheeler,SUV,1,3,NA,Male,NH,Hit From Back
267,March,6-Mar-22,Sunday,6-Mar-22,KG Chavadi,Nil,Tamil Nadu,"10.87206032990684, 76.89348210572516",Van,Truck,2,7,"7,5",Both,NH,With Parked Vehicle
268,March,5-Mar-22,Saturday,6-Mar-22,Kishanganj,Nil,Rajasthan,"25.10031536069514, 76.67646540999337",Car,Truck,1,1,30,Male,NH,Others
269,March,5-Mar-22,Saturday,6-Mar-22,Kishanganj,Nil,Rajasthan,"25.101947583026973, 76.6731180130028",Tractor,Truck,1,2,35,Male,NH,Others
270,March,4-Mar-22,Friday,6-Mar-22,Poonamallee High rd,Chennai,Tamil Nadu,"13.050848763275782, 80.0947979752743",Two Wheeler,Nil,1,2,20,Male,SH,Run Off Road
271,March,6-Mar-22,Sunday,7-Mar-22,Degaon,Nil,Maharashtra,"17.609504860432846, 74.02802490439436",Truck,Nil,4,15,NA,Both,NH,Run Off Road
272,March,6-Mar-22,Sunday,7-Mar-22,Elamanchili,Nil,Andhra Pradesh,"17.555017076256856, 82.84478078739808",Pedestrian,Lorry,2,1,20,Male,NH,Hit and Run
273,March,5-Mar-22,Saturday,7-Mar-22,Singhpur,Nil,Madhya Pradesh,"23.207140010932616, 81.41677662765933",Bus,Ditch,3,28,"12,55,26",Both,OR,Vehicle Overturn
274,March,6-Mar-22,Sunday,8-Mar-22,Jamdahan,Nil,Uttar Pradesh,"25.956761504018843, 82.71131150731956",Tractor,Nil,4,1,NA,NA,OR,Run Off Road
275,March,7-Mar-22,Monday,8-Mar-22,Career College Junction,Bhopal,Madhya Pradesh,"23.231864541961247, 77.45041074030301",Two Wheeler,Pick Up,2,0,"14,14",Female,OR,Others
276,March,6-Mar-22,Sunday,8-Mar-22,Manpur,Nil,Madhya Pradesh,"22.430437925963222, 75.61669537388278",Car,Bus,1,2,42,Male,NH,With Parked Vehicle
277,March,6-Mar-22,Sunday,8-Mar-22,Umri ,Nil,Uttar Pradesh,"29.033168315618305, 78.5706426813862",Tractor,Nil,2,0,NA,Male,OR,Fixed Object Collision
278,March,8-Mar-22,Tuesday,9-Mar-22,Putharachal,Nil,Tamil Nadu,"10.90188754347919, 77.35709665574765",Two Wheeler,Truck,4,0,"45,40,3,26",Both,SH,Others
279,March,8-Mar-22,Tuesday,9-Mar-22,Kandhivali East,Mumbai,Maharashtra,"19.204765381935317, 72.86441892019303",Pedestrian,Truck,1,0,2,Female,OR,Hit and Run
280,March,8-Mar-22,Tuesday,9-Mar-22,Malvani,Mumbai,Maharashtra,"19.182147545682533, 72.81874827513124",Pedestrian,Truck,1,0,65,Female,OR,Hit and Run
281,March,10-Mar-22,Thursday,10-Mar-22,Chengalpattu Bridge,Nil,Tamil Nadu,"12.682730874771801, 79.98521902790553",Two Wheeler,Truck,2,0,"45,51",Male,SH,Hit From Back
282,March,8-Mar-22,Tuesday,10-Mar-22,Modinagar,Nil,Uttar Pradesh,"28.833243263781426, 77.57414318476498",Two Wheeler,Truck,1,1,44,Male,SH,Hit From Back
283,March,9-Mar-22,Wednesday,10-Mar-22,Kanchikacherla,Nil,Andhra Pradesh,"16.682241723631137, 80.39168244486339",Lorry,Bus,1,0,NA,Male,OR,Others
284,March,9-Mar-22,Wednesday,11-Mar-22,Thermal Power Station Gate,Kota,Rajasthan,"25.173355421508273, 75.81972366517368",Two Wheeler,Truck,2,0,"22,23",Male,OR,Others
285,March,9-Mar-22,Wednesday,11-Mar-22,Bangaramma,Nil,Andhra Pradesh,"18.534999658377465, 83.19826114137548",Two Wheeler,Lorry,1,0,25,Male,SH,Others
286,March,10-Mar-22,Thursday,11-Mar-22,Amba Ghat ,Nil,Maharashtra,"17.000592653821027, 73.77712806029851",SUV,Gorge,2,4,NA,Female,NH,Vehicle Overturn
287,March,11-Mar-22,Friday,12-Mar-22,Nerul Flyover,Mumbai,Maharashtra,"19.032645423077586, 73.02942374993484",Truck,Truck,1,1,23,Male,NH,Hit From Back
288,March,11-Mar-22,Friday,12-Mar-22,Balurgi,Nil,Karnataka,"17.29688453077931, 76.37495067788755",Car,Tree,5,0,NA,Female,NH,Fixed Object Collision
289,March,11-Mar-22,Friday,12-Mar-22,Rice Technology park,Nil,Karnataka,"15.633147275421006, 76.56589681159844",Tractor,Nil,4,16,"55,45,60,40",Female,SH,Run Off Road
290,March,11-Mar-22,Friday,12-Mar-22,Dudhia,Indore,Madhya Pradesh,"22.67603178168848, 75.94522481989529",Two Wheeler,Truck,1,0,26,Male,NH,Hit From Back
291,March,10-Mar-22,Thursday,12-Mar-22,Deoli,Nil,Rajasthan,"25.76209446884033, 75.38625216638773",Two Wheeler,Bus,1,0,21,Male,OR,Others
292,March,13-Mar-22,Sunday,13-Mar-22,Jaggaiahpet,Nil,Andhra Pradesh,"16.895063126476742, 80.11560317781093",Car,Culvert,5,1,1,Both,SH,Fixed Object Collision
293,March,11-Mar-22,Friday,13-Mar-22,Gate 2 Hospital,Delhi,Delhi,"28.6176937443294, 77.31168964686108",Pedestrian,Car,1,1,36,Male,OR,Hit and Run
